container_id,trade,cargo_category,cargo_type,terminal,month,day_of_week,is_weekend,is_holiday,is_monsoon,customs_exam,vessel_queue,dwell_hours
TUTU8557733,Import,Machinery,ODC,DBGT,6,6,1,0,0,1,0.826,115.8
TUTU6794785,Export,Machinery,ODC,PSA_SICAL,6,5,1,0,0,0,0.838,63.4
TUTU5919124,Import,Chemicals,Hazardous,DBGT,9,2,0,0,0,0,0.802,79.9
TUTU9707586,Import,Chemicals,Hazardous,PSA_SICAL,2,2,0,0,0,0,0.876,89.2
TUTU9082787,Export,Sugar,Dry,PSA_SICAL,12,3,0,0,1,0,0.787,47.4
TUTU2799173,Import,Coal,Dry,DBGT,4,5,1,1,0,0,0.747,97.5
TUTU1815097,Import,Coal,Dry,PSA_SICAL,3,0,0,0,0,0,0.803,73.0
TUTU4930456,Export,Seafood,Reefer,DBGT,7,2,0,0,0,0,0.763,22.0
TUTU1955283,Export,Sugar,Dry,PSA_SICAL,2,3,0,0,0,0,0.843,44.5
TUTU2451445,Import,Machinery,ODC,DBGT,2,5,1,0,0,1,0.853,115.6
TUTU3371723,Import,Timber,Dry,DBGT,12,0,0,0,1,0,0.775,89.8
TUTU3450173,Import,Machinery,ODC,PSA_SICAL,10,5,1,0,1,0,0.734,98.3
TUTU7817390,Export,Machinery,ODC,DBGT,1,5,1,0,0,0,0.9,72.9
TUTU3968750,Export,Granite,Dry,PSA_SICAL,5,1,0,0,0,1,0.788,70.7
TUTU4970512,Export,Salt,Dry,DBGT,4,0,0,0,0,0,0.862,68.8
TUTU3402780,Import,Machinery,ODC,PSA_SICAL,12,5,1,0,1,0,0.813,106.4
TUTU6531784,Export,Salt,Dry,DBGT,4,0,0,0,0,0,0.908,60.0
TUTU5993671,Export,Seafood,Reefer,DBGT,11,0,0,0,1,0,0.775,25.1
TUTU8610783,Export,Seafood,Reefer,PSA_SICAL,12,6,1,0,1,1,0.756,81.3
TUTU3843361,Import,Machinery,ODC,PSA_SICAL,11,3,0,0,1,0,0.841,101.9
TUTU3524577,Import,Timber,Dry,PSA_SICAL,1,0,0,0,0,1,0.893,119.8
TUTU5506670,Import,Seafood,Reefer,PSA_SICAL,4,3,0,0,0,1,0.825,71.6
TUTU9758083,Export,Sugar,Dry,DBGT,10,4,0,0,1,0,0.754,45.4
